,cs_sentences,en_sentences,es_sentences
0,"Damn , The Smiths spoke for the completo humano race cuando they wrote : "" I was looking for a trabajo , and entonces I encontró a job and cielo knows Soy miserable ahora ""","Damn, The Smiths spoke for the entire human race when they wrote :"" I was looking for a job, and then I found a job and heaven knows I'm miserable now""
","Puñeta , The Smiths habló por toda la raza humana cuando escribió : "" Estaba buscando trabajo , y luego encontré un trabajo y Dios sabe que soy miserable ahora "" .
"
1,"Baby , I no know por qué we fighting , could él be that tú como él so mucho when nosotros hacer arriba ?","Baby, I don't know why we fighting, could it be that you like it so much when we make up?
","Cariño , no sé por qué peleamos , ¿ será que tanto te gusta cuando hacemos las paces ?
"
2,"Cuando Harry dicho , "" no es gon na dormir hasta el daylight , "" he era talking about me .","When Harry said, ""ain't gonna sleep till the daylight,"" he was talking about me.
","Cuando Harry dijo : "" no voy a dormir hasta que amanezca "" , habló sobre mi .
"
3,"Cuando él says "" you no have to ser sorry for leaving and growing up tú can see el mundo following el estación , "" it makes me think entonces mucho about what 's próximo in a pareja of months .","When he says"" you don't have to be sorry for leaving and growing up you can see the world following the season,"" it makes me think so much about what's coming in a couple of months.
","Cuando dice "" no tienes que arrepentirte de irte y crecer puedes ver el mundo siguiendo la temporada "" , me hace pensar tanto en lo que viene en un par de meses .
"
4,"When melena dicho , "" caparazón nunca love tú más than money , "" I en realidad felt eso .","When maneskin said,"" she'll never love you more than money,"" I really felt that.
","Cuando maneskin dijo , "" ella nunca te amará más que al dinero "" , realmente sentí eso .
"
5,"When it expira , eso voluntad probably be el fin de my ath estallido era .","When it expires, that will probably be the end of my ath pop era.
","Cuando se expire , ese será probablemente el final de mi era ath pop .
"
6,"Si they no put en el Higgs fire , el cocina parte , y when ellos prick Ben a Detiene el corazón then qué 's the point of having dos more seasons .","If they don't put in the Higgs fire, the kitchen part, and when they prick Ben to Heartstopper then what's the point of having two more seasons.
","Si no meten el incendio de Higgs , la parte de la cocina , y cuando agarran a Ben a pichazos a Heartstopper entonces cuál es el punto de tener dos temporadas más .
"
7,"I extrañar ser the type de person that cuando él es hambriento , he come a maceta .","I miss being the type of person that when he is hungry, he eats a pot.
","Echo de menos ser el tipo de persona que cuando tiene hambre , se come una olla .
"
8,"El voz when he says "" él 's enough to make a chica rubor , "" Omg !","The voice when he says"" it's enough to make a girl blush,"" Omg!
","La voz cuando dice "" es suficiente para hacer sonrojar a una niña "" , ¡ Por dioooos !
"
9,And since when does McDonald 's vender spicy nuggets ?,"And since when does McDonald's sell spicy nuggets?
","¿ Y desde cuando macdonals vende nuggets picantes ?
"
10,"Y'all no agradecer el debut álbum , but I'm yendo to want to see a ellos when Taylor 's version llega afuera and nosotros escuchar taylor de hecho decir : ' there 's nada parada a mí from going afuera con all de su mejor amigos .","Y'all don't appreciate the debut album, but I'm going to want to see them when Taylor's version comes out and we hear Taylor actually say:' there's nothing stopping me from going out with all of your best friends.
","No aprecian el álbum debut , pero las voy a querer ver cuando salga la versión de Taylor y escuchamos a la Taylor en realidad decir : ' no hay nada que me impida salir con todos tus mejores amigos ' .
"
11,Ideal approach cuando planificación projects in NFTs .,"Ideal approach when planning projects in NFTs.
","Enfoque ideal cuando se planean proyectos en NFTs .
"
12,Congratulations a Dianita and de curso to su mom too .,"Congratulations to Dianita and of course to her mom too.
","Felicidades a Dianita y por supuesto a su mamá también .
"
