,cs_sentences,en_sentences,es_sentences
0,"Maldición, The Smiths spoke for toda la raza humana when ellos wrote : "" I was looking for un trabajo, and then I found un trabajo and cielo knows Soy miserable now ""","Damn, The Smiths spoke for the entire human race when they wrote :"" I was looking for a job, and then I found a job and heaven knows I'm miserable now""
","Puñeta , The Smiths habló por toda la raza humana cuando escribió : "" Estaba buscando trabajo , y luego encontré un trabajo y Dios sabe que soy miserable ahora "" .
"
1,"Bebé, I don't know why nosotros fighting, could él be that tú like él so much when nosotros make up?","Baby, I don't know why we fighting, could it be that you like it so much when we make up?
","Cariño , no sé por qué peleamos , ¿ será que tanto te gusta cuando hacemos las paces ?
"
2,"When Harry said, "" ain't gon na sleep till la luz del día, "" él was talking about a mí.","When Harry said, ""ain't gonna sleep till the daylight,"" he was talking about me.
","Cuando Harry dijo : "" no voy a dormir hasta que amanezca "" , habló sobre mi .
"
3,"When él says "" tú don't have to be sorry for leaving and growing up tú can see el mundo following la temporada, "" él makes a mí think so much about qué 's coming in una pareja of meses.","When he says"" you don't have to be sorry for leaving and growing up you can see the world following the season,"" it makes me think so much about what's coming in a couple of months.
","Cuando dice "" no tienes que arrepentirte de irte y crecer puedes ver el mundo siguiendo la temporada "" , me hace pensar tanto en lo que viene en un par de meses .
"
4,"When melena said, "" she'll never love tú more than dinero, "" I really felt eso.","When maneskin said,"" she'll never love you more than money,"" I really felt that.
","Cuando maneskin dijo , "" ella nunca te amará más que al dinero "" , realmente sentí eso .
"
5,"When él expires, eso will probably be el fin of mi era ath pop.","When it expires, that will probably be the end of my ath pop era.
","Cuando se expire , ese será probablemente el final de mi era ath pop .
"
6,"If ellos don't put in el incendio de Higgs, the kitchen part, and when ellos prick ben to Detiene el corazón then qué 's el punto of having dos temporadas más.","If they don't put in the Higgs fire, the kitchen part, and when they prick Ben to Heartstopper then what's the point of having two more seasons.
","Si no meten el incendio de Higgs , la parte de la cocina , y cuando agarran a Ben a pichazos a Heartstopper entonces cuál es el punto de tener dos temporadas más .
"
7,"I miss being el tipo of persona that when él is hungry, él eats una olla.","I miss being the type of person that when he is hungry, he eats a pot.
","Echo de menos ser el tipo de persona que cuando tiene hambre , se come una olla .
"
8,"La voz when él says "" él 's enough to make una chica sonrojada, "" Dios mío!","The voice when he says"" it's enough to make a girl blush,"" Omg!
","La voz cuando dice "" es suficiente para hacer sonrojar a una niña "" , ¡ Por dioooos !
"
9,And since when does McDonald's vende nuggets picantes?,"And since when does McDonald's sell spicy nuggets?
","¿ Y desde cuando macdonals vende nuggets picantes ?
"
10,"Y'all don't appreciate el álbum debut, but Soy going to want to see a ellos when La versión de Taylor. comes out and nosotros hear taylor actually say : ' there 's nada stopping a mí from going out with todo of tus mejores amigos.","Y'all don't appreciate the debut album, but I'm going to want to see them when Taylor's version comes out and we hear Taylor actually say:' there's nothing stopping me from going out with all of your best friends.
","No aprecian el álbum debut , pero las voy a querer ver cuando salga la versión de Taylor y escuchamos a la Taylor en realidad decir : ' no hay nada que me impida salir con todos tus mejores amigos ' .
"
11,Enfoque ideal when planning projects in NFT.,"Ideal approach when planning projects in NFTs.
","Enfoque ideal cuando se planean proyectos en NFTs .
"
12,Felicidades to dianita and of curso to Su madre too.,"Congratulations to Dianita and of course to her mom too.
","Felicidades a Dianita y por supuesto a su mamá también .
"
13,Ayyyy ' tu no care about a mí ' I love él too.,"Ayyyy 'You don't care about me' I love it too.
","Ayyyy ' No te preocupas por mí ' también me encanta .
"
14,I can read el cuarto too.,"I can read the room too.
","Puedo leer la habitacion tambien .
"
15,"Cowboy Bebop también, puras joyas in su banda sonora.","Cowboy Bebop too, pure jewels in its soundtrack.
","Cowboy Bebop también , puras joyas en su banda sonora .
"
16,"Sí, and to be honest, in escuadrón suicida too.","Yep, and to be honest, in suicide squad too.
","Sí , y para ser honesto , en escuadrón suicida también .
"
17,"God, I had forgotten that in mi cita de último año I put, “ ellos told a mí escuela secundaria was going to go by fast but I didn’t know él was going to go by in un zoom. ”","God, I had forgotten that in my Senior quote I put,“ they told me high school was going to go by fast but I didn’t know it was going to go by in a zoom.”
","Dios , se me había olvidado que en mi mensaje de graduación   puse , “ me dijeron que la escuela secundaria iba a pasar rápido pero no sabía que iba a pasar en un zoom ” .
"
18,I know I tagged a él and that él was likely to see él but I WASN'T EXPECTING A ÉL TO DE HECHO SEE ÉL and react.,"I know I tagged him and that he was likely to see it but I WASN'T EXPECTING HIM TO ACTUALLY SEE IT and react.
","Sé que lo etiqueté y que había probabilidad de que lo viera pero NO ESPERABA QUE ÉL REALMENTE LO VEA y reaccione .
"
19,There was not un traje mas horrible perhaps.,"There was not a more horrible outfit perhaps.
","No había un outfit más horrible acaso .
"
20,"Same, I had prepared los trajes already.","Same, I had prepared the outfits already.
","Igual , yo había preparado los outfits ya .
"
21,"Dude lo mismoeeee I didn't even know until leslie posted last night and I googled él, but él had already happened.","Dude sameeeeee I didn't even know until Leslie posted last night and I googled it, but it had already happened.
","Amigo , igual ni siquiera lo sabía hasta que Leslie publicó anoche y lo busqué en Google , pero ya había pasado .
"
22,What about morbio when él gets morbid?,"What about Morbius when he gets morbid?
","¿ Qué pasa con Morbius cuando se pone morbo ?
"
23,"I love tú too, sorry I don't watch animado.","I love you too, sorry I don't watch anime.
","Yo también te quiero , perdón que no vea anime .
"
24,"taehyung is moda and funny, él is also so beautiful and so dreamy, él is mi lindo chico dorado!","Taehyung is fashion and funny, he is also so beautiful and so dreamy, he is my cute golden boy!
","Taehyung es fashion y funny , también es tan beautiful y tan dreamy , es mi lindo chico golden ! ¡
"
25,sus churros are good too.,"Their churros are good too.
","Sus churros son buenos también .
"
26,"I thought conejito malo was dead, don't ever do eso again tweeter.","I thought bad bunny was dead, don't ever do that again tweeter.
","Pensé que se había muerto bad bunny , no vuelvas a hacer eso nunca más , tuiter .
"
27,"I had already forgotten about medio tiempo, but Enfermo definitely be watching este.","I had already forgotten about halftime, but I'll definitely be watching this.
","Ya me había olvidado del medio tiempo , pero definitivamente estaré viendo esto .
"
28,"I spend like 7 minutos doing él, copying qué was on Spotify, but gracias instagram.","I spend like 7 min doing it, copying what was on Spotify, but thanks instagram.
","Estuve como 7 min haciéndolo , copiando lo que había en Spotify , pero gracias instagram .
"
29,"Él happened ... I hit Mi bolígrafo during una reunión de zoom, él can't be.","It happened ... I hit my pen during a zoom meeting , it can't be.
","Sucedió .. Golpeé mi bolígrafo durante una reunión de zoom , no puede ser .
"
