,cs_sentences,en_sentences,es_sentences
0,"Punch, The Smiths habló por the entire human race cuando escribió : "" Estaba buscando job, y luego encontré a job y God sabe que soy miserable ahora "".","Damn, The Smiths spoke for the entire human race when they wrote :"" I was looking for a job, and then I found a job and heaven knows I'm miserable now""
","Puñeta , The Smiths habló por toda la raza humana cuando escribió : "" Estaba buscando trabajo , y luego encontré un trabajo y Dios sabe que soy miserable ahora "" .
"
1,"Dear, no sé por that peleamos, ¿ será que tanto te gusta cuando hacemos peace?","Baby, I don't know why we fighting, could it be that you like it so much when we make up?
","Cariño , no sé por qué peleamos , ¿ será que tanto te gusta cuando hacemos las paces ?
"
2,"Cuando Harry dijo : "" no voy a dormir hasta que amanezca "", habló sobre my.","When Harry said, ""ain't gonna sleep till the daylight,"" he was talking about me.
","Cuando Harry dijo : "" no voy a dormir hasta que amanezca "" , habló sobre mi .
"
3,"Cuando dice "" no tienes que arrepentirte de go away y crecer puedes ver the world siguiendo the season "", me hace pensar tanto en lo that viene en a pair de months.","When he says"" you don't have to be sorry for leaving and growing up you can see the world following the season,"" it makes me think so much about what's coming in a couple of months.
","Cuando dice "" no tienes que arrepentirte de irte y crecer puedes ver el mundo siguiendo la temporada "" , me hace pensar tanto en lo que viene en un par de meses .
"
4,"Cuando maneskin dijo, "" she nunca te amará más than to money "", realmente sentí that.","When maneskin said,"" she'll never love you more than money,"" I really felt that.
","Cuando maneskin dijo , "" ella nunca te amará más que al dinero "" , realmente sentí eso .
"
5,"Cuando se expire, that será probablemente el final de my era ath pop.","When it expires, that will probably be the end of my ath pop era.
","Cuando se expire , ese será probablemente el final de mi era ath pop .
"
6,"Si no meten the fire de Higgs, the part de the kitchen, y cuando agarran a ben a pricks a heartstopper entonces which es el punto de tener two seasons más.","If they don't put in the Higgs fire, the kitchen part, and when they prick Ben to Heartstopper then what's the point of having two more seasons.
","Si no meten el incendio de Higgs , la parte de la cocina , y cuando agarran a Ben a pichazos a Heartstopper entonces cuál es el punto de tener dos temporadas más .
"
7,"I miss being the guy de person that cuando tiene hunger, se come a pan.","I miss being the type of person that when he is hungry, he eats a pot.
","Echo de menos ser el tipo de persona que cuando tiene hambre , se come una olla .
"
8,"The voice cuando dice "" es suficiente para hacer sonrojar a a girl "", For God 's sake!","The voice when he says"" it's enough to make a girl blush,"" Omg!
","La voz cuando dice "" es suficiente para hacer sonrojar a una niña "" , ¡ Por dioooos !
"
9,¿ Y desde cuando mcdonalds vende spicy nuggets?,"And since when does McDonald's sell spicy nuggets?
","¿ Y desde cuando macdonals vende nuggets picantes ?
"
10,"No aprecian the debut album, pero the voy a querer ver cuando salga the version de Taylor y escuchamos a Taylor en realidad decir : ' no hay nothing that me impida salir con all your best friends '.","Y'all don't appreciate the debut album, but I'm going to want to see them when Taylor's version comes out and we hear Taylor actually say:' there's nothing stopping me from going out with all of your best friends.
","No aprecian el álbum debut , pero las voy a querer ver cuando salga la versión de Taylor y escuchamos a la Taylor en realidad decir : ' no hay nada que me impida salir con todos tus mejores amigos ' .
"
11,Approach ideal cuando se planean Projects en NFTs.,"Ideal approach when planning projects in NFTs.
","Enfoque ideal cuando se planean proyectos en NFTs .
"
12,Congratulations a Dianita y por supuesto a his mom también.,"Congratulations to Dianita and of course to her mom too.
","Felicidades a Dianita y por supuesto a su mamá también .
"
13,Ayyyy ' No te preocupas por my ' también me encanta.,"Ayyyy 'You don't care about me' I love it too.
","Ayyyy ' No te preocupas por mí ' también me encanta .
"
14,Puedo leer the room too.,"I can read the room too.
","Puedo leer la habitacion tambien .
"
15,"Cowboy Bebop too, pure gems on its soundtrack.","Cowboy Bebop too, pure jewels in its soundtrack.
","Cowboy Bebop también , puras joyas en su banda sonora .
"
16,"Sí, y para ser honesto, in suicide squad también.","Yep, and to be honest, in suicide squad too.
","Sí , y para ser honesto , en escuadrón suicida también .
"
17,"God, se me había olvidado que en my message de graduation    I put, “ me dijeron que secondary school iba a pasar rápido pero no sabía que iba a pasar en a zoom ”.","God, I had forgotten that in my Senior quote I put,“ they told me high school was going to go by fast but I didn’t know it was going to go by in a zoom.”
","Dios , se me había olvidado que en mi mensaje de graduación   puse , “ me dijeron que la escuela secundaria iba a pasar rápido pero no sabía que iba a pasar en un zoom ” .
"
18,Sé que lo etiqueté y que había probability de que it viera pero NO ESPERABA QUE HE REALMENTE LO VEA y reaccione.,"I know I tagged him and that he was likely to see it but I WASN'T EXPECTING HIM TO ACTUALLY SEE IT and react.
","Sé que lo etiqueté y que había probabilidad de que lo viera pero NO ESPERABA QUE ÉL REALMENTE LO VEA y reaccione .
"
19,No había a more horrible outfit acaso.,"There was not a more horrible outfit perhaps.
","No había un outfit más horrible acaso .
"
20,"Igual, I había preparado the outfits ya.","Same, I had prepared the outfits already.
","Igual , yo había preparado los outfits ya .
"
21,"Friend, igual ni siquiera it sabía hasta que Leslie publicó anoche and I searched for it on Google, pero ya había pasado.","Dude sameeeeee I didn't even know until Leslie posted last night and I googled it, but it had already happened.
","Amigo , igual ni siquiera lo sabía hasta que Leslie publicó anoche y lo busqué en Google , pero ya había pasado .
"
22,¿ That pasa con Morbius cuando se pone morbid?,"What about Morbius when he gets morbid?
","¿ Qué pasa con Morbius cuando se pone morbo ?
"
23,"I también te quiero, sorry that no vea anime.","I love you too, sorry I don't watch anime.
","Yo también te quiero , perdón que no vea anime .
"
24,"Taehyung es fashion y funny, también es tan beautiful y tan dreamy, he is my cute boy golden! ¡","Taehyung is fashion and funny, he is also so beautiful and so dreamy, he is my cute golden boy!
","Taehyung es fashion y funny , también es tan beautiful y tan dreamy , es mi lindo chico golden ! ¡
"
25,Their churros son buenos también.,"Their churros are good too.
","Sus churros son buenos también .
"
26,"Pensé que se había muerto bad bunny, no vuelvas a hacer that never again, tuiter.","I thought bad bunny was dead, don't ever do that again tweeter.
","Pensé que se había muerto bad bunny , no vuelvas a hacer eso nunca más , tuiter .
"
27,"Ya I había olvidado del halftime, pero definitivamente estaré viendo this.","I had already forgotten about halftime, but I'll definitely be watching this.
","Ya me había olvidado del medio tiempo , pero definitivamente estaré viendo esto .
"
28,"I spent like 7 minutes doing it, copiando lo that había en Spotify, pero gracias instagram.","I spend like 7 min doing it, copying what was on Spotify, but thanks instagram.
","Estuve como 7 min haciéndolo , copiando lo que había en Spotify , pero gracias instagram .
"
29,"Sucedió .. I hit my pen durante a meeting de zoom, no puede ser.","It happened ... I hit my pen during a zoom meeting , it can't be.
","Sucedió .. Golpeé mi bolígrafo durante una reunión de zoom , no puede ser .
"
30,Me puede hacer yours any day de week.,"You can make me yours any day of the week.
","Me puede hacer suyo cualquier día de la semana .
"
31,Krusty state of mind cuando se come a Krusty Burger.,"Krusty state of mind when eating a Krusty Burger.
","Krusty state of mind cuando se come una Krusty Burger .
"
32,"Sigue dejando que my struggle sea tu tema principal, pero cuando es tu turno, mastica y traga.","Keep letting my struggle be your main topic, but when it's your turn, chew and swallow.
","Sigue dejando que mi lucha sea tu tema principal , pero cuando es tu turno , mastica y traga .
"
33,"The 3 physical pains principales that he sentido : Cuando me dio appendicitis, hincones de ectopic pregnancy please die, menstrual cramps MÁS una UTI al Same time, ¿ cómo that?","Top 3 physical pains i’ve felt: When you gave me appendicitis, hincones of ectopic pregnancy please die, period cramps PLUS an UTI at the same time, like what?
","Los 3 dolores físicos principales que he sentido : Cuando me dio apendicitis , hincones de embarazo ectópico , por favor muere , calambres menstruales MÁS una UTI al mismo tiempo , ¿ cómo qué ?
"
34,"Cuando dijo : "" Soy la perra that está jugando más duro en this damn game ... "" Realmente sentí that.","When he said, "" I'm the bitch that's playing harder in this fucking game,"" I really felt that .
","Cuando dijo : "" Soy la perra que está jugando más duro en este maldito juego ... "" Realmente sentí eso .
"
35,"Me da Rage cuando another person that no soy I habla de Harry, como que, cállate, no te gusta de the same way that I.","It makes me angry when someone other than me talks about Harry, like, shut up, you don't like him in the same way I do.
","Me da rabia cuando otra persona que no soy yo habla de Harry , como que , cállate , no te gusta de la misma manera que a mí .
"
36,"That kiss me hizo sentir completo, y no necesito más, y no necesito más que you, más que That smile, that me hizo sonreír cuando más it necesité.","That kiss made me feel complete, and I don't need more ,and I don't need more than you, more than that smile, that made me smile when I needed it most.
","Ese beso me hizo sentir completo , y no necesito más , y no necesito más que tú , más que esa sonrisa , que me hizo sonreír cuando más lo necesité .
"
37,"Also es la primera vez que uso, pero Alright, no funciono al instant.","It's also the first time I use it, but okay it didn't work instantly.
","Tambien es la primera vez que uso , pero esta bien , no funciono al instante .
"
38,"Taehyung es tan bello y perfecto, es una joya, jewel y también es divertido.","Taehyung is so beautiful and perfect, he is a jewel, a jewel and he is also funny.
","Taehyung es tan bello y perfecto , es una joya , joya y también es divertido .
"
39,I había pensado que siempre hay A new sunrise.,"I had thought there is always a new dawn.
","Yo había pensado que siempre hay un nuevo amanecer .
"
40,"Efectivamente, dentro de the colony había same center y periphery.","Indeed, within the colony itself there was center and periphery.
","Efectivamente , dentro de la colonia había mismo centro y periferia .
"
41,"The shape en that I había borrado his performance de halftime de My memory, por favor.","The way I had deleted her halftime performance from my memory, please.
","La forma en que yo había borrado su actuación de medio tiempo de mi memoria , por favor .
"
42,"Se I había olvidado the remix de drunk de love, I come back enseguida.","I had forgotten the remix of drunk in love, be right back.
","Se me había olvidado el remix de borracho de amor , vuelvo enseguida .
"
43,"Es tan tonto y adorable oh, Rin and Len lo son todo para my.","Oh, I don't know why I haven't seen this video, it 's so silly and adorable oh, Rin and Len you're everything to me.
","Es tan tonto y adorable oh , Rin y Len lo son todo para mi .
"
44,"¡ You pido a mi segundo ex que me bloquee mientras que mi primer ex I desbloqueó, no puede ser, ya déjenme!","I'm begging my second ex to block me while my first ex unblocked me,this can’t be, just leave me alone!
","¡ Le pido a mi segundo ex que me bloquee mientras que mi primer ex me desbloqueó , no puede ser , ya déjenme !
"
45,Tiene issues de mother.,"It has mommy issues.
","Tiene problemas de mamá .
"
46,"Oh, tremendous bangers tiene Sonic Unleashed.","Wow ,Sonic Unleashed has tremendous bangers.
","Vaya , tremendos bangers tiene Sonic Unleashed .
"
47,Se necesita más that that para decir ¡ sí se puede!,"It takes more than that to say si se puede!
","Se necesita más que eso para decir ¡ sí se puede !
"
48,"No puede ser, this me hace tan feliz.","It can't be ,this makes me so happy.
","No puede ser , esto me hace tan feliz .
"
49,"little freak tiene vibrations de One Direction, change of mind.","Little freak has One Direction vibes, change my mind.
","Little freak tiene vibraciones de One Direction , cambio de opinión .
"
50,Al tiempo de hoy : No puedo darte un 0 así que te doy ... un 1 ( because of the cool breeze ).,"Today's weather: I can't give you a 0 so I give you ... a 1 (because of the cool breeze ).
","Al tiempo de hoy : No puedo darte un 0 así que te doy ... un 1 ( por la brisa fresquita ) .
"
51,"God, The Neighborhood me pone caliente y triste al Same time.","God, The Neighborhood makes me hot and sad at the same time.
","Dios , The Neighborhood me pone caliente y triste al mismo tiempo .
"
52,"No había visto the can, nunca me di cuenta de que estaba sosteniendo a dish de corn en this scene.","I hadn’t seen the can, I never realized she was holding a plate of corn in this scene.
","No había visto la lata , nunca me di cuenta de que estaba sosteniendo un plato de maíz en esta escena .
"
53,"En this point, mycoplasma me está dando kicks en the ass, nunca había durado so sick.","At this point, mycoplasma is whooping my ass, she had never been so sick.
","En este punto , el micoplasma me está dando patadas en el culo , nunca había durado tanto enferma .
"
54,"Veo a Nico di Angelo y my brain hace brrrrrr, quiero dibujarlo y ahora nobody puede detenerme.","I see Nico di Angelo and my brain goes brrrrrr, I want to draw him and now nobody can stop me.
","Veo a Nico di Angelo y mi cerebro hace brrrrrr , quiero dibujarlo y ahora nadie puede detenerme .
"
55,Time de coffee y networking en Controller Day 22.,"Coffee and networking time at Controller Day 22.
","Tiempo de cafe y networking en Controller Day 22 .
"
56,"let me know si debo quedarme aquí por A good time, por favor.","Let me know if I should stay here for a long time, please.
","Avísame si debo quedarme aquí por un buen tiempo , por favor .
"
57,Overthinking all the time.,"Overthinking all the time.
","Overthinking todo el tiempo .
"
58,Pasé de estar en teammates/ jaripeos all the time a no ir 2 years in a row.,"I went from being at coleaderos jaripeos all the time to not going 2 years in a row.
","Pasé de estar en coleaderos/ jaripeos todo el tiempo a no ir 2 años seguidos .
"
59,"Tengo this, calmly, with time, all saldrá bien.","I've got this, calmly , with time, everything will work out.
","Tengo esto , con calma , con tiempo , todo saldrá bien .
"
60,"Respondí the same, elige totalmente the vibrations de my girl or, worse yet, "" cool girl "" "".","I answered the same thing, totally pick me girl vibes coming through, or even worsen 'cool girl'.
","Respondí lo mismo , elige totalmente las vibraciones de mi chica o , peor aún , "" chica genial "" .
"
61,Porque my mom no me dejaba the ass en peace desde first grade para que pudiera escribir en italics.,"Because my mom wouldn't leave my ass alone since first grade so I could write in cursive.
","Porque mi mamá no me dejaba el culo en paz desde primer grado para que pudiera escribir en cursiva .
"
62,Mirror ' de Kendrick me da string vibes al album de Black Panther que también participo Kendrick.,"Mirror' by Kendrick gives me string vibes to the Black Panther album that Kendrick also participated in.
","Mirror ' de Kendrick me da string vibes al álbum de Black Panther que también participo Kendrick .
"
63,Between a the 3 minutes y ya no había nothing.,"I got in within 3 minutes and there was nothing.
","Entré a los 3 minutos y ya no había nada .
"
64,"Vi que publicaste this antes y estaba al azar y no había oído de the cases, así que acabo de hacer a mini thread sobre that, por favor no te preocupes.","I saw you posted this earlier and I was a random and had not heard of the cases so I just made a mini thread on it, please don't worry.
","Vi que publicaste esto antes y estaba al azar y no había oído de los casos , así que acabo de hacer un mini hilo sobre eso , por favor no te preocupes .
"
65,"Por please take care of me, no puede ser.","Please look after me, it can't be.
","Por favor cuídame , no puede ser .
"
